Age,MP,PER,TS%,FTr,TRB%,AST%,STL%,USG%,W/L%,Share,Season,MVP_Rank,Awards,Player,Team,prominence_score,fatigue_decay,fatigue_streak,is_defending_mvp,MVP_Category,MVP_Performance_Category
27.0,800.0,21.3,0.626,0.373,19.6,10.0,2.9,18.4,0.646,0.0,2016,0,No awards,Cole Aldrich,LAC,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
22.0,2115.0,18.0,0.573,0.347,4.9,22.6,1.4,29.7,0.306,0.0,2021,0,No awards,Collin Sexton,CLE,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
25.0,2075.0,19.9,0.607,0.356,5.4,29.5,1.4,27.5,0.378,0.0,2024,0,No awards,Collin Sexton,UTA,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
21.0,1359.0,18.2,0.562,0.591,12.3,10.8,1.4,24.5,0.378,0.0,2001,0,No awards,Corey Maggette,LAC,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
24.0,2628.0,20.1,0.586,0.612,9.3,15.8,1.3,25.2,0.341,0.0,2004,0,No awards,Corey Maggette,LAC,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
25.0,2436.0,19.9,0.574,0.666,9.7,16.6,1.5,27.9,0.451,0.0,2005,0,No awards,Corey Maggette,LAC,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
27.0,2291.0,18.6,0.583,0.783,11.5,15.9,1.5,26.0,0.488,0.0,2007,0,6MOY-7,Corey Maggette,LAC,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
28.0,2502.0,19.3,0.595,0.681,9.1,14.3,1.5,27.6,0.28,0.0,2008,0,No awards,Corey Maggette,LAC,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
30.0,2081.0,20.3,0.615,0.622,10.0,13.2,1.2,26.7,0.317,0.0,2010,0,No awards,Corey Maggette,GSW,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
28.0,1701.0,20.0,0.567,0.37,11.1,11.5,1.5,29.8,0.61,0.0,2002,0,6MOY-1,Corliss Williamson,DET,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
22.0,2448.0,19.4,0.533,0.135,6.8,41.3,1.9,31.9,0.512,0.0,2019,0,AS,D'Angelo Russell,BRK,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
26.0,3073.0,19.0,0.588,0.322,7.9,11.9,1.6,25.3,0.476,0.0,1987,0,MIP-1,Dale Ellis,SEA,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
27.0,2790.0,19.3,0.572,0.26,6.9,11.4,1.3,26.8,0.537,0.0,1988,0,No awards,Dale Ellis,SEA,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
28.0,3190.0,19.7,0.589,0.27,6.0,8.1,1.6,26.6,0.573,0.0,1989,0,"AS,NBA3",Dale Ellis,SEA,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
29.0,2033.0,19.0,0.58,0.233,6.9,8.7,1.5,25.3,0.5,0.0,1990,0,No awards,Dale Ellis,SEA,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
26.0,1017.0,18.3,0.701,0.492,13.2,10.2,1.2,16.2,0.366,0.0,2022,0,No awards,Damian Jones,SAC,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
23.0,2937.0,18.6,0.568,0.327,5.3,25.1,1.1,25.0,0.659,0.0,2014,0,"AS,NBA3",Damian Lillard,POR,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
24.0,2925.0,20.7,0.56,0.293,6.9,29.0,1.7,26.9,0.622,0.0,2015,0,AS,Damian Lillard,POR,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
25.0,2676.0,22.2,0.56,0.315,6.1,33.6,1.2,31.3,0.537,0.02,2016,8,"MVP-8,NBA2",Damian Lillard,POR,0.125,0.0,0.0,0,Outside Top 5 (with votes),Outside Top 5
26.0,2694.0,24.1,0.586,0.366,7.6,28.7,1.3,31.5,0.5,0.0,2017,0,No awards,Damian Lillard,POR,0.0,0.125,0.0,0,No MVP Votes,Outside Top 5
27.0,2670.0,25.2,0.594,0.38,6.6,30.9,1.4,30.6,0.598,0.205,2018,4,"MVP-4,AS,NBA1",Damian Lillard,POR,0.25,0.0625,0.0,0,Top 5,Top 5 (not MVP this year)
28.0,2838.0,23.7,0.588,0.335,7.0,30.6,1.5,29.3,0.646,0.068,2019,6,"MVP-6,AS,NBA2",Damian Lillard,POR,0.16666666666666666,0.28125,0.25,0,Outside Top 5 (with votes),Outside Top 5
29.0,2474.0,26.9,0.627,0.384,6.0,34.4,1.3,30.3,0.473,0.023,2020,8,"MVP-8,AS,NBA2",Damian Lillard,POR,0.125,0.30729166666666663,0.0,0,Outside Top 5 (with votes),Outside Top 5
30.0,2398.0,25.6,0.623,0.363,6.3,34.6,1.3,31.4,0.583,0.038,2021,7,"MVP-7,AS,NBA2",Damian Lillard,POR,0.14285714285714285,0.2786458333333333,0.0,0,Outside Top 5 (with votes),Outside Top 5
